
Device: cuda

=== Model: ConvTran ===

--- Dataset BIDMC32SpO2 ---
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/functional.py:554: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:4322.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/labic/miniconda3/envs/merlin_thesis/lib/python3.12/site-packages/torch/nn/modules/conv.py:543: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1027.)
  return F.conv2d(
Epoch 125/2000 | Train Loss: 0.003881
Epoch 126/2000 | Train Loss: 0.003666
Epoch 127/2000 | Train Loss: 0.003964
Epoch 128/2000 | Train Loss: 0.003461
Epoch 129/2000 | Train Loss: 0.003075
Epoch 130/2000 | Train Loss: 0.002675
Epoch 131/2000 | Train Loss: 0.003442
Epoch 132/2000 | Train Loss: 0.004074
Epoch 133/2000 | Train Loss: 0.003787
Epoch 134/2000 | Train Loss: 0.002508
Epoch 135/2000 | Train Loss: 0.004674
Epoch 136/2000 | Train Loss: 0.002848
Epoch 137/2000 | Train Loss: 0.003309
Epoch 138/2000 | Train Loss: 0.002791
Epoch 139/2000 | Train Loss: 0.002824
Epoch 140/2000 | Train Loss: 0.002330
Epoch 141/2000 | Train Loss: 0.002398
Epoch 142/2000 | Train Loss: 0.003112
Epoch 143/2000 | Train Loss: 0.005067
Epoch 144/2000 | Train Loss: 0.003587
Epoch 145/2000 | Train Loss: 0.003866
Epoch 146/2000 | Train Loss: 0.003502
Epoch 147/2000 | Train Loss: 0.002287
Epoch 148/2000 | Train Loss: 0.002964
Epoch 149/2000 | Train Loss: 0.002141
Epoch 150/2000 | Train Loss: 0.002374
Epoch 151/2000 | Train Loss: 0.002332
Epoch 152/2000 | Train Loss: 0.003668
Epoch 153/2000 | Train Loss: 0.003397
Epoch 154/2000 | Train Loss: 0.002475
Epoch 155/2000 | Train Loss: 0.002116
Epoch 156/2000 | Train Loss: 0.002538
Epoch 157/2000 | Train Loss: 0.002416
Epoch 158/2000 | Train Loss: 0.001948
Epoch 159/2000 | Train Loss: 0.002529
Epoch 160/2000 | Train Loss: 0.002321
Epoch 161/2000 | Train Loss: 0.002663
Epoch 162/2000 | Train Loss: 0.004622
Epoch 163/2000 | Train Loss: 0.003099
Epoch 164/2000 | Train Loss: 0.002172
Epoch 165/2000 | Train Loss: 0.002766
Epoch 166/2000 | Train Loss: 0.001942
Epoch 167/2000 | Train Loss: 0.002452
Epoch 168/2000 | Train Loss: 0.002015
Epoch 169/2000 | Train Loss: 0.002359
Epoch 170/2000 | Train Loss: 0.001902
Epoch 171/2000 | Train Loss: 0.002063
Epoch 172/2000 | Train Loss: 0.003482
Epoch 173/2000 | Train Loss: 0.002561
Epoch 174/2000 | Train Loss: 0.002445
Epoch 175/2000 | Train Loss: 0.001691
Epoch 176/2000 | Train Loss: 0.002444
Epoch 177/2000 | Train Loss: 0.002673
Epoch 178/2000 | Train Loss: 0.002488
Epoch 179/2000 | Train Loss: 0.002091
Epoch 180/2000 | Train Loss: 0.001848
Epoch 181/2000 | Train Loss: 0.001783
Epoch 182/2000 | Train Loss: 0.002724
Epoch 183/2000 | Train Loss: 0.002425
Epoch 184/2000 | Train Loss: 0.002463
Epoch 185/2000 | Train Loss: 0.002086
Epoch 186/2000 | Train Loss: 0.002023
Epoch 187/2000 | Train Loss: 0.001734
Epoch 188/2000 | Train Loss: 0.001798
Epoch 189/2000 | Train Loss: 0.002080
Epoch 190/2000 | Train Loss: 0.002672
Epoch 191/2000 | Train Loss: 0.002043
Epoch 192/2000 | Train Loss: 0.002030
Epoch 193/2000 | Train Loss: 0.002055
Epoch 194/2000 | Train Loss: 0.001535
Epoch 195/2000 | Train Loss: 0.001656
Epoch 196/2000 | Train Loss: 0.001727
Epoch 197/2000 | Train Loss: 0.001686
Epoch 198/2000 | Train Loss: 0.002949
Epoch 199/2000 | Train Loss: 0.002301
Epoch 200/2000 | Train Loss: 0.001531
Epoch 201/2000 | Train Loss: 0.001723
Epoch 202/2000 | Train Loss: 0.001805
Epoch 203/2000 | Train Loss: 0.001908
Epoch 204/2000 | Train Loss: 0.001767
Epoch 205/2000 | Train Loss: 0.002390
Epoch 206/2000 | Train Loss: 0.002313
Epoch 207/2000 | Train Loss: 0.001700
Epoch 208/2000 | Train Loss: 0.001443
Epoch 209/2000 | Train Loss: 0.001763
Epoch 210/2000 | Train Loss: 0.001775
Epoch 211/2000 | Train Loss: 0.002087
