model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
RandomForest,AppliancesEnergy,5.224203357857143,1.9147785714285717,0.558105034033604,2.2856516265295426,,10.592684268951416
RandomForest,AppliancesEnergy,5.354463596666666,1.9184857142857137,0.5470868289882478,2.3139713906327075,,21.485085248947144,20251016_172415_run1_426423808
RandomForest,AppliancesEnergy,5.690759645476192,1.9192214285714282,0.5186408591697462,2.385531313036195,,17.612853527069092,20251016_172415_run2_871224612
RandomForest,AppliancesEnergy,5.598906063809529,1.9599190476190482,0.5264103950327472,2.36620076574443,,28.409274578094482,20251016_172415_run3_372899701
RandomForest,AppliancesEnergy,5.220111531904761,1.9401285714285714,0.5584511456158128,2.2847563397230704,,10.604290962219238,20251016_172415_run4_1233289857
RandomForest,FloodModeling3,0.00044888512608695673,0.015277826086956535,0.12620898286858528,0.021186909309452304,,5.854254245758057
RandomForest,FloodModeling3,0.0004390674309782615,0.015152554347826103,0.14531991637109365,0.020953935930470475,,14.117181062698364,20251016_172415_run1_426423808
RandomForest,FloodModeling3,0.0004537037918478265,0.0154600543478261,0.11682906223474576,0.021300323749835974,,15.173340559005737,20251016_172415_run2_871224612
RandomForest,FloodModeling3,0.00044167914130434805,0.015328695652173931,0.14023601207206438,0.021016163810371007,,12.081965446472168,20251016_172415_run3_372899701
RandomForest,FloodModeling3,0.0004437084576086965,0.015386847826086984,0.13628578459824403,0.021064388374901762,,5.9647674560546875,20251016_172415_run4_1233289857
RandomForest,BenzeneConcentration,13.0042980603608,2.5070272467371293,0.7975522417173382,3.60614725993834,,454.3958158493042
RandomForest,BenzeneConcentration,12.96394064419304,2.507637324361857,0.7981805161843891,3.6005472700956225,,1018.6629631519318,20251016_172415_run1_426423808
RandomForest,BenzeneConcentration,12.918496379679477,2.5056894201377258,0.7988879814727785,3.5942309858548986,,1037.2709140777588,20251016_172415_run2_871224612
RandomForest,BenzeneConcentration,12.877808194676374,2.5078000045759756,0.7995214052688369,3.588566314654973,,1018.5890226364136,20251016_172415_run3_372899701
RandomForest,BenzeneConcentration,12.936537353988468,2.5058765416435937,0.7986071239601978,3.596739822949176,,584.5964343547821,20251016_172415_run4_1233289857
RandomForest,BeijingPM10Quality,14082.584724617473,81.71869235340729,0.2293438592297642,118.6700666748674,,273.5116720199585
RandomForest,BeijingPM10Quality,14114.830367583003,81.74695305071315,0.22757924689116205,118.8058515713052,,671.0780711174011,20251016_172415_run1_426423808
RandomForest,BeijingPM10Quality,14051.35674218859,81.89665412044374,0.23105278105720506,118.53841884464542,,734.9128580093384,20251016_172415_run2_871224612
RandomForest,BeijingPM10Quality,13994.91522915848,81.70343423137876,0.23414148951957847,118.30010663206724,,556.8152713775635,20251016_172415_run3_372899701
RandomForest,BeijingPM10Quality,13858.963037230782,81.24988767828843,0.24158134474566506,117.72409709668952,,322.62803506851196,20251016_172415_run4_1233289857
RandomForest,FloodModeling1,0.0002805356955445539,0.012366089108910867,0.21032409051371115,0.016749199847889865,,6.9631547927856445
RandomForest,FloodModeling1,0.000274116238613861,0.012327128712871262,0.22839412784109248,0.016556456100683535,,15.519877910614014,20251016_172437_run1_1429954457
RandomForest,FloodModeling1,0.00027901574158415847,0.012321089108910891,0.21460258713683322,0.01670376429383983,,15.069517612457275,20251016_172437_run2_1494177249
RandomForest,FloodModeling1,0.00028100201930693065,0.012466089108910875,0.20901144243712644,0.01676311484500809,,8.337116718292236,20251016_172437_run3_1310176686
RandomForest,FloodModeling1,0.0002842502797029701,0.012369554455445537,0.1998679607938667,0.016859723595094023,,7.682793617248535,20251016_172437_run4_571082591
RandomForest,HouseholdPowerConsumption2,2312.41391875128,34.22805104956269,0.17746120428757417,48.08756511564378,,305.9672386646271
RandomForest,HouseholdPowerConsumption2,2317.0363229800278,34.392428192419835,0.17581698878758134,48.13560348619333,,695.4604952335358,20251016_172437_run1_1429954457
RandomForest,HouseholdPowerConsumption2,2357.9844198027768,34.53966472303207,0.16125151762596157,48.55908174381778,,525.4144401550293,20251016_172437_run2_1494177249
RandomForest,HouseholdPowerConsumption2,2360.8995957578145,34.430569679300284,0.1602145729423552,48.58908926660197,,328.4639701843262,20251016_172437_run3_1310176686
RandomForest,HouseholdPowerConsumption2,2314.3705734716827,34.11065568513119,0.17676521106408838,48.107905519484866,,340.5173830986023,20251016_172437_run4_571082591
RandomForest,LiveFuelMoistureContent,1787.5840136903967,31.881442246302313,-0.056788810045137916,42.279829868276394,,1211.0321111679077
RandomForest,LiveFuelMoistureContent,1790.912729288282,31.954951991400506,-0.05875668924338928,42.31917685031553,,3161.139078140259,20251016_172437_run1_1429954457
RandomForest,LiveFuelMoistureContent,1775.6069355870357,31.807156448797233,-0.049708168229295024,42.137951250470586,,1651.406479358673,20251016_172437_run2_1494177249
RandomForest,LiveFuelMoistureContent,1769.1153761586124,31.716146455940237,-0.04587047035822378,42.06085325048236,,1639.2704060077667,20251016_172437_run3_1310176686
RandomForest,LiveFuelMoistureContent,1775.9406629426119,31.778090035050365,-0.04990546208081614,42.141911002499775,,1566.522573709488,20251016_172437_run4_571082591
RandomForest,BeijingPM25Quality,8282.841525714342,63.23313470681459,0.3468448934802254,91.0101177106938,,328.2081243991852
RandomForest,BeijingPM25Quality,8385.697537810223,63.48916283676704,0.3387340381260431,91.57345432935368,,784.4701457023621,20251016_172437_run1_1429954457
RandomForest,BeijingPM25Quality,8236.792115419572,62.90837242472266,0.3504761844318727,90.75677448774594,,326.2189085483551,20251016_172437_run2_1494177249
