model,dataset,mse,mae,r2,rmse,best_train_loss,time
TSERMamba,AppliancesEnergy,12.545151895259226,2.7559708867754256,-0.06114542211797702,3.5419135922914924,0.01563964893943385,47.82349920272827
TSERMamba,FloodModeling3,0.0004243099486368811,0.015374867812446926,0.17404661926959641,0.02059878512526603,9.730303921087673e-06,189.23569869995117
TSERMamba,BenzeneConcentration,19.965640224937168,3.1149519965638492,0.6891797550459773,4.468292764013698,0.0042594705465552555,7515.356474399567
TSERMamba,BeijingPM10Quality,13597.472478375896,79.8499455306496,0.2558911684659292,116.6082007338073,5.190428842492383,19274.05406165123
TSERMamba,FloodModeling1,0.0004702847847954389,0.016964486477398635,-0.32379771073273567,0.021686050465574383,1.289430969290192e-06,587.3311398029327
TSERMamba,HouseholdPowerConsumption2,3042.5836932991024,40.82248274473685,-0.08226434001189831,55.159620133745506,2.115110092675126,1146.5900945663452
TSERMamba,LiveFuelMoistureContent,2093.2154842624736,34.88115499888035,-0.23747286578899884,45.7516719286025,1.8190304761352014,6578.141919374466
TSERMamba,BeijingPM25Quality,8042.396089682687,63.153349262598766,0.3658055561822571,89.67940727771726,2.3522624065260254,24109.815654993057
TSERMamba,Covid3Month,0.0018865048158069097,0.03449555917749884,0.05262729600327076,0.04343391319932973,4.516967455856502e-05,77.51249265670776
TSERMamba,HouseholdPowerConsumption1,132290.7011844643,264.99584067041604,0.5039137648211162,363.7178868085323,224.94282587038592,559.3406579494476
TSERMamba,FloodModeling2,4.8341956690923113e-05,0.003497491428508094,0.8588873190799469,0.00695283803140294,1.170912640468233e-06,810.4661667346954
TSERMamba,IEEEPPG,937.375475364702,24.197404594306487,0.029838415624269143,30.616588238481146,0.9980825493238631,1132.5660915374756
TSERMamba,BIDMC32SpO2,25.293063569127945,3.6023472304540953,-0.15091063029100904,5.029220970401673,0.015105269043832211,28100.569598436356
TSERMamba,BIDMC32HR,99.35360538160992,5.781027084293342,0.49748431256728864,9.967627871344813,0.03385656495889028,15072.91443490982
TSERMamba,BIDMC32RR,24.563684525630006,3.487092969814108,-1.026627036189101,4.9561764017869665,0.0011533781624969563,7598.950936079025
TSERMamba,NewsHeadlineSentiment,0.03516034657822173,0.1441313639068098,-0.7377777575242859,0.18751092389037427,0.00019462443866069437,108822.94770765305
TSERMamba,AustraliaRainfall,72.74437679833193,2.215998648438695,0.030684465877757305,8.529031410326258,11.892956960156209,70376.96217441559
TSERMamba,PPGDalia,243.7072960899513,11.192717076724119,0.5130540124867251,15.611127316435265,0.11042918200626922,74906.9660410881
TSERMamba,NewsTitleSentiment,0.019073104478384846,0.09765272099831093,-2.7614482203119906e-06,0.13810541074985022,0.0005785627794720259,10233.4107837677
