model,dataset,mse,mae,r2,rmse,best_train_loss,time
XGBoost,Covid3Month,0.0025941616556806294,0.037201820369556306,-0.30274672177450856,0.05093291328483606,,0.7094874382019043
XGBoost,HouseholdPowerConsumption1,77363.77596660255,215.43704890090453,0.7098881157217527,278.1434449463128,,104.45612454414368
XGBoost,FloodModeling2,0.0001172090727134095,0.0029240341293277983,0.6578606636245848,0.010826313902405078,,1.7637624740600586
XGBoost,IEEEPPG,1164.2963189205864,28.0653965500981,-0.20501931556640907,34.12178657281278,,54.34440994262695
XGBoost,FloodModeling1,0.0003135425635797413,0.013071045808272785,0.117413530649357,0.017707133127068914,,1.027665615081787
XGBoost,HouseholdPowerConsumption2,2501.869710306893,35.987830554394954,0.11007070063974522,50.01869360855892,,55.89103627204895
XGBoost,LiveFuelMoistureContent,2059.64523228484,34.36563441942227,-0.21762670591795685,45.38331447002125,,62.73243689537048
XGBoost,BeijingPM25Quality,8603.753752204131,64.25924194363284,0.3215389089547811,92.75642162246305,,22.93381142616272
XGBoost,AppliancesEnergy,5.400131101989506,1.76279935836792,0.54322399300579,2.323818216210017,,1.8666603565216064
XGBoost,FloodModeling3,0.0004638365093976713,0.015805961798066682,0.09710491220249651,0.021536863963856748,,0.5012915134429932
XGBoost,BenzeneConcentration,13.447525019644406,2.5421324892420314,0.7906521919106578,3.6670867210422506,,19.455146551132202
XGBoost,BeijingPM10Quality,14771.116211175033,83.8337095193742,0.19166462430198306,121.53648098894024,,3.2487781047821045
XGBoost,NewsHeadlineSentiment,0.0210183672108509,0.11137750899160925,-0.03881942645670344,0.14497712650915281,,2.7437028884887695
XGBoost,NewsTitleSentiment,0.019720182735627707,0.10069575237765171,-0.033929068702582166,0.14042856808935889,,2.6360068321228027
XGBoost,AustraliaRainfall,335.807779381915,2.3290087769409094,-3.4746235418026377,18.32505878249549,,1.061403751373291
XGBoost,PPGDalia,264.65063400192764,12.36777981625468,0.47120760663504,16.26808636570164,,19.543099641799927
XGBoost,BIDMC32SpO2,26.156267462802337,3.760054348114952,-0.19018900789033988,5.1143198436157995,,71.55152916908264
XGBoost,BIDMC32HR,97.42642480801256,6.785080639806178,0.5072317038876997,9.870482501276852,,71.8217658996582
XGBoost,BIDMC32RR,15.671764565188381,2.966785858563336,-0.2929990908806155,3.9587579573887037,,69.0612325668335
