model,dataset,mse,mae,r2,rmse,best_train_loss,time
MiniROCKET,AppliancesEnergy,6.33745492907818,1.9637006229058809,0.46393942992539405,2.517430223278925,,0.33679699897766113
MiniROCKET,FloodModeling3,0.0003565001013047074,0.013695618124443254,0.30604386729858246,0.018881210271185146,,4.69819450378418
MiniROCKET,BenzeneConcentration,127.7306304176362,8.827043660400912,-0.9884794759436772,11.301797663099274,,23.384268760681152
MiniROCKET,BeijingPM10Quality,15717.791544115848,88.05484478712347,0.13985871133124728,125.37061674936375,,1032.6277322769165
MiniROCKET,FloodModeling1,0.00018702459931707526,0.010095917306357782,0.4735471353285785,0.013675693741711067,,1.5908708572387695
MiniROCKET,HouseholdPowerConsumption2,1151.3361827682072,25.49355727633288,0.590463165112888,33.93134513643995,,15.372658491134644
MiniROCKET,LiveFuelMoistureContent,2130.283653033638,34.79980683894797,-0.2593869208420536,46.154995970464974,,66.90551805496216
MiniROCKET,BeijingPM25Quality,8184.577871912412,64.74839849629578,0.3545936119685328,90.46865684817263,,1025.610966205597
MiniROCKET,Covid3Month,0.0017398695617672486,0.029390986493296557,0.1262651797569475,0.04171174369128254,,1.2555789947509766
MiniROCKET,HouseholdPowerConsumption1,27447.37476907262,123.13538577661065,0.8970731519595893,165.67249249369257,,11.90248417854309
MiniROCKET,FloodModeling2,9.446958784356616e-05,0.004386897965064183,0.7242383943136605,0.009719546689201414,,4.138737440109253
MiniROCKET,IEEEPPG,804.6454777171624,22.420259654702374,0.1672108490978781,28.366273595894867,,73.879798412323
MiniROCKET,NewsHeadlineSentiment,0.02078997423091982,0.11088177596732081,-0.02753124873868118,0.14418728872865258,,1981.3778183460236
MiniROCKET,NewsTitleSentiment,0.01955661582538275,0.10060348769874472,-0.025353256528459323,0.1398449706831917,,684.6754353046417
MiniROCKET,PPGDalia,184.2824388518189,10.297202133222381,0.6317894636334958,13.575066808374054,,630.6985096931458
MiniROCKET,AustraliaRainfall,99.5262599965001,5.365856692406768,-0.3261829336640243,9.976284879477936,,1002.8856270313263
MiniROCKET,BIDMC32SpO2,31.071102384551992,4.239859483841413,-0.41382881077050615,5.574145888344868,,735.3075079917908
MiniROCKET,BIDMC32HR,61.91055657889551,4.9286735979827725,0.6868656574757376,7.868326161191814,,281.3194580078125
MiniROCKET,BIDMC32RR,17.09368331023999,3.3209662536078826,-0.4103145110434332,4.1344507870139156,,348.0661952495575
