model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
XGBoost,AppliancesEnergy,5.400131101989506,1.76279935836792,0.54322399300579,2.323818216210017,,1.8666603565216064
XGBoost,AppliancesEnergy,6.816023029419783,2.0356836282639272,0.42345922271925673,2.610751430033082,,99.67071294784546,20251016_172034_run1_1351022732
XGBoost,AppliancesEnergy,6.853920660878275,2.157868037450881,0.4202536100322294,2.61799936227614,,240.8474404811859,20251016_172034_run2_1558277221
XGBoost,AppliancesEnergy,6.508422250568812,1.9484436071486697,0.44947797168260895,2.5511609613211026,,267.1815359592438,20251016_172034_run3_1510269226
XGBoost,AppliancesEnergy,4.463448713157332,1.7805335317339215,0.6224542993283402,2.11268755691828,,188.36318612098694,20251016_172034_run4_1177635208
XGBoost,FloodModeling3,0.0004638365093976713,0.015805961798066682,0.09710491220249651,0.021536863963856748,,0.5012915134429932
XGBoost,FloodModeling3,0.0004772108391022193,0.016165562647840255,0.07107070327724019,0.021845155964245695,,124.60578870773315,20251016_172034_run1_1351022732
XGBoost,FloodModeling3,0.00044288154780058224,0.014868076539557917,0.13789543107641244,0.021044751074806807,,175.20941257476807,20251016_172034_run2_1558277221
XGBoost,FloodModeling3,0.00045548190310921755,0.015523260872001234,0.1133678255900662,0.021342022001422864,,186.21031594276428,20251016_172034_run3_1510269226
XGBoost,FloodModeling3,0.00043772141718471605,0.015444008218205496,0.14794004052621468,0.020921792876919417,,160.55436182022095,20251016_172034_run4_1177635208
XGBoost,BenzeneConcentration,13.447525019644406,2.5421324892420314,0.7906521919106578,3.6670867210422506,,19.455146551132202
XGBoost,BenzeneConcentration,14.499186004655101,2.622014029478259,0.7742801887544303,3.807779668606772,,319.6128878593445,20251016_172034_run1_1351022732
XGBoost,BenzeneConcentration,13.620936638967677,2.5578262028138927,0.7879525618784016,3.6906553129448,,343.87968039512634,20251016_172034_run2_1558277221
XGBoost,BenzeneConcentration,13.183432205576592,2.522347940019433,0.7947635247898663,3.6308996413528964,,244.41318106651306,20251016_172034_run3_1510269226
XGBoost,BenzeneConcentration,13.889479339730826,2.562739977861554,0.7837719542423471,3.7268591789509333,,321.67107129096985,20251016_172034_run4_1177635208
XGBoost,BeijingPM10Quality,14771.116211175033,83.8337095193742,0.19166462430198306,121.53648098894024,,3.2487781047821045
XGBoost,BeijingPM10Quality,15479.084147076728,86.05101677215704,0.15292174805162262,124.41496753637293,,324.7202250957489,20251016_172034_run1_1351022732
XGBoost,BeijingPM10Quality,15821.44657884168,86.75682232870165,0.13418628751166428,125.78333188002964,,249.9689028263092,20251016_172034_run2_1558277221
XGBoost,BeijingPM10Quality,15059.87273751678,83.86851661339426,0.17586269627780815,122.71867314111891,,230.27569603919983,20251016_172034_run3_1510269226
XGBoost,BeijingPM10Quality,15119.706100305015,84.94592182262669,0.17258837204277766,122.96221411598367,,296.15907979011536,20251016_172034_run4_1177635208
XGBoost,FloodModeling1,0.0003135425635797413,0.013071045808272785,0.117413530649357,0.017707133127068914,,1.027665615081787
XGBoost,FloodModeling1,0.00034328823467630554,0.013601588022590858,0.033682867316608855,0.018528039148175003,,179.71846795082092,20251016_172244_run1_2070105541
XGBoost,FloodModeling1,0.00038581129745229707,0.014199430090366021,-0.08601469276248164,0.019642079763922585,,233.5558032989502,20251016_172244_run2_1686314567
XGBoost,FloodModeling1,0.0004552001796486118,0.01499442589755105,-0.28133646295735315,0.02133542077505414,,136.7036168575287,20251016_172244_run3_1311386038
XGBoost,FloodModeling1,0.0003592957582671201,0.013550113223566865,-0.011376481461315757,0.018955098476851028,,166.0304355621338,20251016_172244_run4_1555379047
XGBoost,HouseholdPowerConsumption2,2501.869710306893,35.987830554394954,0.11007070063974522,50.01869360855892,,55.89103627204895
XGBoost,HouseholdPowerConsumption2,2360.578668307396,35.73254904957763,0.1603287286635422,48.58578669021833,,353.47267842292786,20251016_172244_run1_2070105541
XGBoost,HouseholdPowerConsumption2,2417.5946924932236,35.4710646921942,0.1400478042624964,49.16904201317353,,401.3669798374176,20251016_172244_run2_1686314567
XGBoost,HouseholdPowerConsumption2,2492.965044188578,36.15498842680906,0.11323814107321906,49.92960088152696,,285.2764756679535,20251016_172244_run3_1311386038
XGBoost,HouseholdPowerConsumption2,2599.4416041452696,37.00649318328057,0.07536382251450979,50.98471932005971,,339.4802145957947,20251016_172244_run4_1555379047
XGBoost,LiveFuelMoistureContent,2059.64523228484,34.36563441942227,-0.21762670591795685,45.38331447002125,,62.73243689537048
XGBoost,LiveFuelMoistureContent,2165.7385090054345,35.45784017368342,-0.2803472196396495,46.5374957319948,,363.56805443763733,20251016_172244_run1_2070105541
