model,dataset,mse,mae,r2,rmse,best_train_loss,time,run
FCN,HouseholdPowerConsumption2,1853.660098530531,31.188882899006323,0.3406425507502646,43.054153092710244,110.23547963392015,1235.9679515361786
FCN,HouseholdPowerConsumption2,2216.756312655868,34.46103635856083,0.21148716041321858,47.082441659878555,3.029493559766936,1311.9592912197113,20251016_161100_run1_819635891
FCN,HouseholdPowerConsumption2,1915.927910133675,31.21528456892286,0.318493535695369,43.77131378121606,2.65069948746854,1716.4059646129608,20251016_161100_run2_1859861795
FCN,HouseholdPowerConsumption2,1938.8579355959814,34.48073014469258,0.3103371951062591,44.03246456418243,3.164022202459758,1170.8938229084015,20251016_161100_run3_1598936485
FCN,HouseholdPowerConsumption2,1777.14489588877,30.097369457125318,0.3678594439027323,42.156196411545125,3.151687396772756,1259.0800957679749,20251016_161100_run4_1914698265
FCN,LiveFuelMoistureContent,2929.8975570035686,40.89620354507143,-0.7321048662177585,54.128528125227724,430.4406402614101,8407.853799819946
FCN,LiveFuelMoistureContent,2623.42862026265,38.8236591301217,-0.5509257204129412,51.219416438130665,19.67915293564948,5989.135493278503,20251016_161100_run1_819635891
FCN,LiveFuelMoistureContent,2916.938440295369,41.422088597783976,-0.7244436600917967,54.008688563002245,15.668647938664718,7033.93493437767,20251016_161100_run2_1859861795
FCN,LiveFuelMoistureContent,2722.285665315129,40.18979040992181,-0.6093682991938956,52.17552745603181,17.15093600111775,4669.986444234848,20251016_161100_run3_1598936485
FCN,LiveFuelMoistureContent,2676.2634541445495,39.39310067284186,-0.582160762284589,51.73261499426208,17.24839554684844,4965.346808433533,20251016_161100_run4_1914698265
FCN,BeijingPM25Quality,7112.529066355695,56.62558372727287,0.4391315268391671,84.33581129244975,79.24837792529858,2191.342031955719
FCN,BeijingPM25Quality,7218.449662368759,57.466681711269445,0.43077900941422653,84.96145986486319,1.8662357391137208,14089.36626625061,20251016_161100_run1_819635891
FCN,BeijingPM25Quality,7270.241251387103,57.89575634025356,0.426694910891143,85.26570970435363,2.38125722971233,8878.266849040985,20251016_161100_run2_1859861795
